institution,url
Academic Consortium on Criminal Justice Health,https://www.accjh.org/
Academy Health,http://www.academyhealth.org/
Allies for Reaching Community Health Equity,https://healthequity.globalpolicysolutions.org
American Evaluation Association,http://www.eval.org/
American Heart Association,http://www.heart.org/HEARTORG/
American Journal of Men's Health,http://journals.sagepub.com/home/jmh
American Psychological Association,http://www.apa.org/index.aspx
American Public Health Association,https://www.apha.org/
Asian Women for Health,http://www.asianwomenforhealth.org/
Aspen Program for Ethical Healthcare Leadership,http://www.aspenethicalleadership.com/
Association for Community Health Improvement,http://www.healthycommunities.org/
Association of American Medical Colleges,https://www.aamc.org/
Association of Professional Women in Medicine (APWIMS),http://apwims.web.unc.edu/
Ben and Jerry's,http://www.benjerry.com/
Blue Cross Blue Shield of Michigan and Blue Care Network,http://www.bcbsm.com/
Blue Ribbon Mentor-Advocate,http://blueribbonmentors.org/
Brocher Foundation,http://www.brocher.ch/en/
Carolina Center for Public Service,http://ccps.unc.edu/
Cecil G. Sheps Center for Health Services Research (Sheps Center),http://www.shepscenter.unc.edu/
Center for Minority Health and Health Disparities Research and Education (CMHHDRE) at Xavier University,http://www.xula.edu/cop/Centers/Center%20for%20Minority%20Health%20and%20Health%20Disparities%20Research%20and%20Education%20CMHHDRE/index.html
Centers for Disease Control and Prevention,http://www.cdc.gov/
Charlotte AHEC,https://www.charlotteahec.org/
Community Campus Partnerships for Health,https://ccph.memberclicks.net/
Community Expert Solutions,https://www.communityexpertsolutions.com/
"Consortium on Race, Gender, and Ethnicity at UM College Park",http://www.crge.umd.edu/
Culture of Health Leaders National Program Center,http://cultureofhealth-leaders.org/
Curran-Bauer Analytics,http://www.curranbauer.org/
"Distinguished, Intellectual, Virtuous, Academic, Sistas (DIVAS)",https://sites.google.com/site/drdivas/home
Diversity and Multicultural Affairs at UNC,http://diversity.unc.edu/
Duke Law,https://law.duke.edu/
Eastern North Carolina Career Alliance,https://asp.symplicity.com/enccacareerfair/index.php
Engaged Schoalrship at UNC-Chapel Hill,http://engagement.web.unc.edu
Engaged Scholarship at UNC-Chapel Hill,http://engagement.web.unc.edu
Epidemiology Congress of the Americas,http://epicongress.org/
Ethnicity and Disease,https://www.ethndis.org/edonline/index.php/ethndis/index
Families USA,http://familiesusa.org/
Health Affairs,http://www.healthaffairs.org/
"Health Disparities, Education, Awareness, Research & Training",http://www.hdeartconsortium.com/
Health Equity Leadership Institute,https://uwheli.com/
Health Forum Education,http://www.healthforum-edu.com/
Health Resources & Services Administration (HRSA) Bureau of Health Workforce,https://bhw.hrsa.gov/
Helen Diller Family Comprehensive Cancer Center (UCSF),http://cancer.ucsf.edu/
Hollings Cancer Center - Medical University of South Carolina,http://www.hollingscancercenter.org/index.html
Howard Hughes Medical Institute,https://www.hhmi.org/
Howard University,https://www2.howard.edu/
Institute for Alternative Futures,http://www.altfutures.org/
Institute for Diversity in Health Management,http://www.diversityconnection.org/diversityconnection/homepage/index.jsp
Institute for Healthcare Improvement,http://www.ihi.org/Pages/default.aspx
Institute for Healthcare Quality Improvement (IHQI),http://www.med.unc.edu/ihqi
Institute of African American Research (IAAR),http://iaar.unc.edu/
International Health Workforce Collaborative,http://rcpsc.medical.org/publicpolicy/index.php
Johns Hopkins Medicine,http://www.hopkinsmedicine.org/
Journal of Opioid Management,http://www.wmpllc.org/ojs-2.4.2/index.php/jom/index
Kennedy Krieger Institute,http://www.kennedykrieger.org/
Leadership Excellence and Development (LEAD),http://www.leadershipexcellenceanddevelopment.com/
Linking Healthcare Data Sources: The Challenge of Scale,https://tracs.unc.edu/
L'Oreal USA for Women in Science,http://www.lorealusa.com/csr-commitments/l%E2%80%99or%C3%A9al-usa-for-women-in-science-program
Meharry Medical College and Vanderbilt University Medical Center,https://medschool.vanderbilt.edu/meharry-vanderbilt/
MSU School of Community Health and Policy,http://www.morgan.edu/schp
MUSC - Hollings Cancer Center,http://www.hollingscancercenter.org/index.html
N.C. Food and Health Care Intersections Group,https://www.med.unc.edu/fammed/service-to-the-community/north-carolina-food-health-care-intersections-group
National Collaborative for Health Equity,http://www.nationalcollaborative.org/
National Environmental Health Association and US Department of Housing and Urban Development (HUD),http://www.neha.org/
"National Heart, Lung, and Blood Institute",http://www.nhlbi.nih.gov/
National Instititute on Minority Health and Health Disparities,http://www.nimhd.nih.gov/default.html
National Institute for Health Care Management (NIHCM) Foundation,https://www.nihcm.org/
National Institute of Diabetes and Digestive and Kidney Diseases,https://www.niddk.nih.gov/
National Institute of Health,https://www.nih.gov/
National Institute on Minority Health and Health Disparities,http://www.nimhd.nih.gov/default.html
National Institutes of Health (NIH),https://www.nih.gov/
National Network of Public Health Institutes (NNPHI),https://nnphi.org/
National Partnership for Action to End Health Disparities,https://www.minorityhealth.hhs.gov
National Science Foundation,https://www.nsf.gov/
NC TraCS and Center for Faculty Excellence,https://tracs.unc.edu/
Network of Minority Health Research Investigators (NMRI),https://www.niddk.nih.gov/research-funding/process/diversity/network-minority-research-investigators/Pages/default.aspx
New York Academy of Medicine,https://nyam.org
North Carolina Oncology Navigation Association (NCONA),http://www.ncoa-northcarolina.com/
Office of Minority Health at HHS,https://minorityhealth.hhs.gov/
Office of the National Coordinator for Health Information Technology,https://www.healthit.gov/
Parter in Health,http://www.pih.org/
Research Data Assistance Center,https://www.resdac.org/about-resdac
Robert Wood Johnson Foundation,http://www.rwjf.org
Society for Prevention Research (SPR),http://www.preventionresearch.org/
"Southeast Raleigh Assemby, Inc.",http://www.southeastraleigh.org/
Southeastern Health Equity Council,http://region4.npa-rhec.org/home
The Build Health Challenge,http://buildhealthchallenge.org/
The Conservation Fund,http://www.conservationfund.org
The Disparities Solutions Center,https://mghdisparitiessolutions.org/hqeaf/
"The Health and Medicine Division (HMD) of the National Academies of Sciences, Engineering, and Medicine",http://www.nationalacademies.org/hmd/
"The National Academies of Sciences, Engineering, and Medicine",http://national-academies.org/
The North Carolina Translational & Clinical Sciences Institute,https://tracs.unc.edu/
The Southeast Raleigh Assembly,http://www.southeastraleigh.org/
The United State of Women,http://www.theunitedstateofwomen.org/
The Urban Health and Regional Information Systems Association,http://www.urisa.org
Think Cultural Health,https://www.thinkculturalhealth.hhs.gov/
Tobacco-Related Disease Research Program,http://www.trdrp.org/index.html
Translational Research Network (RTRN) ,http://www.rtrn.net/
Tuskegee University National Center for Bioethics in Research and Health Care,http://tuskegeebioethics.org/
U.S. Department of Health and Human Services,https://www.hhs.gov/
U.S. Department of Health and Human Services Office of Minority Health,http://www.minorityhealth.hhs.gov/
U.S. Food and Drug Administration,http://www.fda.gov/
UAB School of Medicine,https://www.uabmedicine.org/
UC Davis Health,http://ucdmc.ucdavis.edu/welcome/index.html
UC San Diego School of Medicine,http://divprevmed.ucsd.edu/wrc/index.html
"UMD The Consortium on Race, Gender and Ethnicity (CRGE)",http://www.crge.umd.edu/
UNC Career Services,https://careers.unc.edu/
UNC Carolina Black Caucus,http://www.unccbc.com/
UNC Center for AIDS Research,http://unccfar.org/
UNC Center for Bioethics,https://bioethics.unc.edu/
UNC Center for European Studies,http://europe.unc.edu/
UNC Center for Faculty Excellence,http://cfe.unc.edu/
UNC Center for Genomics & Society,http://genomics.unc.edu/genomicsandsociety/
UNC Center for Health Equity Research,https://cher.unc.edu/
UNC Center for Health Promotion and Disease Prevention,http://hpdp.unc.edu/
UNC Center for the Study of the American South,http://south.unc.edu/
UNC Center for Urban and Regional Studies,http://curs.unc.edu/
"UNC Department of African, African American, and Diaspora Studies (AAAD)",http://aaad.unc.edu/
UNC Department of Anthropology,http://anthropology.unc.edu/
UNC Friday Center,http://fridaycenter.unc.edu/
UNC Gillings School of Global Public Health,http://sph.unc.edu/
UNC Graduate School,http://gradschool.unc.edu/
UNC Health Sciences Library,http://library.unc.edu/
UNC Institute for African American Research,http://iaar.unc.edu/
UNC Institute for the Arts and Humanities,http://iah.unc.edu/
UNC Libraries,library.unc.edu
UNC Office of Research Development,http://research.unc.edu/offices/research-development/
UNC Office of Undergraduate Research,http://our.unc.edu/students/funding-opportunities/
UNC School of Law,http://www.law.unc.edu/
UNC School of Medicine,http://www.med.unc.edu/
UNC Society of General Internal Medicine,http://www.sgim.org/
UNC The Graduate School Initiative for Minority Excellence,http://graddiversity.web.unc.edu/initiatives/initiative-for-minority-excellence/
UNC The Odum Institute,http://www.odum.unc.edu/odum/home2.jsp
UNC The Sonja Haynes Stone Center for Black Culture and History,http://stonecenter.unc.edu/
UNC The Writing Center at UNC Chapel Hill,http://writingcenter.unc.edu/
"UNC Working Group on Gender, Migration and Health",http://sph.unc.edu/hb/hb-student-groups/
United States Conference on AIDS (USCA),https://www.2017usca.org/
University Gazette,http://gazette.unc.edu/
University of Connecticut,http://cicats.uconn.edu/
University of North Carolina at Chapel Hill,http://www.unc.edu/
UT Health Science Center at San Antonio,https://www.uthscsa.edu/
Vanderbilt University Medical Center,https://ww2.mc.vanderbilt.edu/
W.K. Kellogg Foundation,https://www.wkkf.org/
WalMart Foundation,http://giving.walmart.com/foundation
White Coats Black Doctors,http://www.whitecoatsblackdoctors.org/
Women in Science Deserve Opportunities and Mentoring (WISDOM),http://wisdom.web.unc.edu/
